slug,company,job_title,status,date_found,job_url,drive_url,drive_updated,clusters
ageneo-life-science-experts-interim-solutions-gmbh-plattform-developer-m-w-d-4428933791,ageneo Life Science Experts (Interim Solutions) GmbH,Plattform Developer (m/w/d),draft,2026-06-23,https://www.linkedin.com/jobs/view/4428933791/,https://drive.google.com/drive/folders/1241fMlldu75x0WJSH3a1fvf0p-JDym8b,2026-06-23T15:36:00+00:00,distributed-systems;observability;platform-cloud-native
air-apps-backend-engineer-berlin-4428254276,Air Apps,Backend Engineer,draft,2026-06-22,https://www.linkedin.com/jobs/view/4428254276/,https://drive.google.com/drive/folders/1dySQrORMCLAmMxRWIlDChONnUpU-aOvv,2026-06-22T20:26:58+00:00,data-persistence;distributed-systems;ml-ai;observability;platform-cloud-native;web-api
ald-vacuum-technologies-gmbh-backend-developer-m-w-div-4429650140,ALD Vacuum Technologies GmbH,Backend Developer,draft,2026-06-22,https://www.linkedin.com/jobs/view/4429650140/,https://drive.google.com/drive/folders/1jSAheie1fVR0MtFw2hTfpj5V8fI2Lwio,2026-06-22T17:29:52+00:00,data-persistence;distributed-systems;ml-ai;platform-cloud-native
alfadocs-com-senior-full-stack-backend-engineer-php-react-4415765466,AlfaDocs.com,Senior Full Stack/Backend Engineer (PHP + React),draft,2026-06-23,https://www.linkedin.com/jobs/view/4415765466/,https://drive.google.com/drive/folders/1dGuamc2WvMMcfAqMHbGeMeTYsYefxkQM,2026-06-23T15:36:21+00:00,data-persistence;distributed-systems;ml-ai;platform-cloud-native;web-api
atain-devops-engineer-4420707494,Atain,DevOps Engineer,draft,2026-06-23,https://www.linkedin.com/jobs/view/4420707494/,https://drive.google.com/drive/folders/1fJSjaEKOSveEsJ6m3-kmFow5vhq0OH-i,2026-06-23T15:35:31+00:00,distributed-systems;ml-ai;observability;platform-cloud-native;web-api
check24-vergleichsportal-gmbh-full-stack-entwickler-m-w-d-ai-digital-innovation-4422336823,CHECK24 Vergleichsportal GmbH,Full-Stack Entwickler (m/w/d) – AI & Digital Innovation Explorer,draft,2026-06-23,https://www.linkedin.com/jobs/view/4422336823/,https://drive.google.com/drive/folders/1h-NZ5LqLJcremIn5TQfs8hYF_SZOCmIS,2026-06-23T15:36:07+00:00,distributed-systems;ml-ai;observability;web-api
check24-vergleichsportal-gmbh-full-stack-entwickler-m-w-d-fokus-backend-explorer-4422345683,CHECK24 Vergleichsportal GmbH,Full-Stack Entwickler (m/w/d) – Fokus Backend Explorer,draft,2026-06-23,https://www.linkedin.com/jobs/view/4422345683/,https://drive.google.com/drive/folders/1ajdpvUlGpjQ7OK7nqf8N8FaG4mgPpjHB,2026-06-23T15:36:14+00:00,distributed-systems;ml-ai;observability;web-api
computer-futures-senior-data-engineer-m-w-d-4430489704,Computer Futures,Senior Data Engineer,draft,2026-06-22,https://www.linkedin.com/jobs/view/4430489704/,https://drive.google.com/drive/folders/1j6_eUyDHiiC-uNM3_jz2Z9CZRPoJISxE,2026-06-22T17:30:43+00:00,data-persistence;ml-ai;observability;platform-cloud-native
instaffo-backend-developer-in-go-m-w-d-4419894295,Enginsight GmbH,Backend Developer:in (Go),draft,2026-06-22,https://www.linkedin.com/jobs/view/4419894295/,https://drive.google.com/drive/folders/1w7a1eg17X19ryzdhJT1Yr0ziy1tmBJ--,2026-06-22T17:30:09+00:00,distributed-systems;ml-ai;platform-cloud-native
fion-energy-iot-platform-engineer-energy-systems-f-m-d-4422580779,FION Energy,IoT Platform Engineer - Energy Systems,draft,2026-06-22,https://www.linkedin.com/jobs/view/4422580779/,https://drive.google.com/drive/folders/1Y5AM2xacMn6ti1tWkG8wnsriqdZqYuOb,2026-06-22T17:30:28+00:00,observability;platform-cloud-native
